,player_key,Pos,PTS,AST,STL,BLK,TRB,TOV,PF,Salary
0,Precious Achiuwa,C,9.1,1.1,0.5,0.6,6.5,1.2,2.1,2840160
1,Christian Wood,C,17.9,2.3,0.8,1.0,10.1,1.9,2.5,14317459
2,Naz Reid,C,8.3,0.9,0.5,0.9,3.9,1.1,2.2,1930681
3,Dwight Powell,C,8.7,1.2,0.5,0.5,4.9,0.8,2.7,11080125
4,Jock Landale,C,4.9,0.8,0.2,0.3,2.6,0.6,1.0,1563518
5,Kevon Looney,C,6.0,2.0,0.6,0.6,7.3,0.8,2.6,8000000
6,Kevin Love,C,13.6,2.2,0.4,0.2,7.2,1.3,1.4,28942830
7,JaVale McGee,C,9.2,0.6,0.3,1.1,6.7,1.3,2.4,5461219
8,Chimezie Metu,C,8.9,1.0,0.9,0.5,5.6,1.0,1.6,1910860
9,Jusuf Nurkić,C,15.0,2.8,1.1,0.6,11.1,2.6,3.4,15625000
10,Mason Plumlee,C,6.5,3.1,0.8,0.7,7.7,1.4,3.1,9080417
11,Jakob Poeltl,C,13.5,2.8,0.7,1.7,9.3,1.6,3.1,9398148
12,Mike Muscala,C,8.0,0.5,0.4,0.6,3.0,0.3,1.3,3500000
13,Deandre Ayton,C,17.2,1.4,0.7,0.7,10.2,1.6,2.4,30913750
14,Steven Adams,C,6.9,3.4,0.9,0.8,10.0,1.5,2.0,17926829
15,Khem Birch,C,4.5,1.0,0.5,0.5,4.3,0.5,1.9,6667500
16,Goga Bitadze,C,7.0,1.1,0.4,0.8,3.5,0.9,2.1,4765339
17,Mo Bamba,C,10.6,1.2,0.5,1.7,8.1,1.1,2.6,10300000
18,Jarrett Allen,C,16.1,1.6,0.8,1.3,10.8,1.7,1.7,20000000
19,Clint Capela,C,11.1,1.2,0.7,1.3,11.9,0.6,2.2,18706896
20,Bam Adebayo,C,19.1,3.4,1.4,0.8,10.1,2.6,3.1,30351780
21,Domantas Sabonis,C,18.9,5.2,1.0,0.4,12.1,3.1,3.3,18500000
22,Robert Williams,C,10.0,2.0,0.9,2.2,9.6,1.0,2.2,10937502
23,P.J. Washington,C,10.3,2.3,0.9,0.9,5.2,1.3,2.3,5808435
24,Bobby Portis,C,14.6,1.2,0.7,0.7,9.1,1.3,2.4,10843350
25,Nikola Vučević,C,17.6,3.2,1.0,1.0,11.0,1.9,2.5,22000000
26,Moritz Wagner,C,9.0,1.4,0.3,0.2,3.7,0.9,2.0,1878720
27,Richaun Holmes,C,10.4,1.1,0.4,0.9,7.0,1.2,2.8,11215260
28,Al Horford,C,10.2,3.4,0.7,1.3,7.7,0.9,1.9,26500000
29,Nikola Jokić,C,27.1,7.9,1.5,0.9,13.8,3.8,2.6,33047803
30,Omer Yurtseven,C,5.3,0.9,0.3,0.4,5.3,0.7,1.5,1752638
31,Damian Jones,C,8.1,1.2,0.5,0.8,4.4,1.1,2.3,2298385
32,Jaxson Hayes,C,9.3,0.6,0.5,0.8,4.5,0.8,2.2,6803012
33,Isaiah Hartenstein,C,8.3,2.4,0.7,1.1,4.9,1.2,2.5,7804879
34,Rudy Gobert,C,15.6,1.1,0.7,2.1,14.7,1.8,2.7,38172414
35,Dewayne Dedmon,C,6.3,0.7,0.4,0.6,5.8,1.0,2.6,7566667
36,Willy Hernangómez,C,9.1,1.3,0.4,0.4,6.8,1.0,1.9,2443581
37,Isaiah Stewart,C,8.3,1.2,0.3,1.1,8.7,1.2,3.0,3433320
38,Joel Embiid,C,30.6,4.2,1.1,1.5,11.7,3.1,2.7,33616770
39,Daniel Gafford,C,9.4,0.9,0.4,1.4,5.7,0.9,2.4,1930681
40,Taj Gibson,C,4.4,0.6,0.4,0.8,4.4,0.5,2.6,1836090
